상호명,소재지,경도,위도
씨제이대한통운(주)하양Smart sub,경상북도 경산시 하양읍 지식산업2로1길 63,128.822057228,35.942944444
엑소후레쉬물류(주),경상북도 칠곡군 지천면 금호로 272 (영남컨복합화물터미널및내륙컨테이너기지 4동(라동)),128.450262425,35.959566900
삼성웰스토리(주),경상북도 칠곡군 왜관읍 삼청4길 39,128.422625437,35.978930847
(주)로한종합물류,경상북도 칠곡군 지천면 금호자원길 40,128.442185385,35.941303670
영덕북부수협,경상북도 영덕군 축산면 축산항길 33,129.448276528,36.507425943
디케이냉동산업,대구광역시 달성군 다사읍 서재로 12길 39 ,128.494252043,35.867477434
현대냉동,대구광역시 북구 노원로27(노원동3가),128.574787193,35.898606166
포항시 영어조합법인,경상북도 포항시 남구 장기면 영암리 280번지,129.52333949490145,35.908577920128955
미보수산,경상북도 포항시 남구 구룡포읍 석병리 646,129.57829681690328,36.02010336245585
해봉수산㈜,경상북도 포항시 남구 구룡포읍 병포리 236-1,129.55103062163596,35.97931413212676
대건유통,대구광역시 달성군 다사읍 세천북로14길 54-14,128.475852415,35.879611333
㈜삼한냉동,경상북도 칠곡군 지천면 신동로 78-14,128.479035739,35.956190769
대호수산,경상북도 영덕군 강구면 강영로 108,129.385733799,36.369375367
㈜ 청해원,경상북도 포항시 북구 청하면 월포리 9-1,129.37244245949765,36.20843812789358
해전종합식품(주),경상북도 울진군 죽변면 죽변항길 163 ,129.426158674,37.056694644
화성식품,경상북도 영덕군 강구면 강영로 117,129.384940283,36.370743849
세웅수산,경상북도 영덕군 강구면 강영로 84,129.385623951,36.367722063
㈜대성산업,경상북도 영덕군 강구면 강영로 61,129.383847881,36.365984890
보정식품,경상북도 포항시 북구 청하면 신흥리 39번지,129.380131345488,36.15869914238294
(주) 정화식품상사,경상북도 포항시 북구 송라면 조사리 357,129.37962851135288,36.22768413756917
MJ물류,대구광역시 북구 사수로 559(팔달동),128.537638623,35.895529132
주식회사 한익스프레스,경상북도 칠곡군 지천면 금호로 356,128.449855727,35.961823064
농업회사법인 한우리(주),경상북도 김천시 공단2길 21(대광동),128.136968487,36.141457612
(주)에스피씨지에프에스,"경상북도 칠곡군 왜관읍 삼청5길 50-22, 지하1층",128.430986459,35.979866775
경주시수산업협동조합,경상북도 경주시 감포읍 감포항구길 61,129.504866796,35.808725434
(주)푸드웰,대구광역시 달서구 성서서로 121(갈산동),128.498215980,35.835884204
(주)이마트 대구물류센터,대구광역시 달서구 성서공단북로 104(호산동),128.484871094,35.843727864
(주)대한냉동,경상북도 경산시 진량읍 대구대로 529,128.852455627,35.880309917
영농조합법인 나눔과섬김,경상북도 안동시 풍산읍 지풍로 1846-8,128.538712377,36.570607141
동아냉동,대구광역시 북구 노원로17길 6(노원동3가),128.571022328,35.895449464
엑소후레쉬물류(주)칠곡센터,경상북도 칠곡군 지천면 금호로 272,128.449928317,35.958703190
(주)그린랜드,경상북도 경산시 진량읍 대구대로 513,128.852355759,35.881155284
(주)비지에프로지스,경상북도 칠곡군 석적읍 호국로 608,128.439148687,36.033423367
(주)대창냉동,대구광역시 북구 신천동로 960(산격동),128.594151282,35.902374661
(주)하나로티앤에스,경상북도 칠곡군 지천면 신동로2길 91-33,128.479242080,35.967245873
(주)빙그레,경상북도 안동시 경북대로 597(송현동),128.697910222,36.581903526
동원로엑스(주) 경산센터,경상북도 경산시 진량읍 공단8로 238,128.833999221,35.877304940
(주)제때,경상북도 경산시 진량읍 금박로 695,128.858996419,35.875291433
삼성웰스토리(주),경상북도 칠곡군 왜관읍 삼청4길 39,128.422625437,35.978930847
호야푸드물류,경상북도 경주시 강동면 모서별봉길 61,129.252729278,35.944623489
(주)한익스프레스대구지점,경상북도 경산시 압량읍 가야로 20,128.769902126,35.853776951
(주)제때 경산지점,경상북도 경산시 진량읍 일연로 554,128.806407614,35.857878744
(주)아워홈,경상북도 구미시 장천면 장군로 339-4,128.531056415,36.124495648
디케이푸드웰(주),대구광역시 달성군 다사읍 서재로12길 39,128.494252043,35.867477434
농업회사법인 주식회사조양에프엔지,경상북도 칠곡군 기산면 기산공단1길 11,128.368511061,35.975100407
포항축산농협 육가공공장,경상북도 포항시 북구 청하면 고현길49번길 23,129.335094801,36.161225065
금성냉동(주),경상북도 경산시 진량읍 대구대로 535,128.853256792,35.879731419
(주)장보고식자재,대구광역시 북구 칠곡중앙대로 21 (팔달동),128.547911018,35.898131281
(주)올품,경상북도 상주시 발산로 135 (초산동),128.174629431,36.456049335
오뚜기물류서비스(주),대구광역시 북구 유통단지로7길 42 (산격동),128.607934402,35.908814790
(주)빙그레 포항영업소,경상북도 포항시 남구 연일읍 동해대로 345,129.288092875,36.022273704
동원로엑스(주)경산센터,경상북도 경산시 진량읍 공단8로 238,128.833999221,35.877304940
주)동원웰푸드,대구광역시 북구 칠곡중앙대로51길 32 (태전동),128.545033739,35.917397532
